step	time	mass	force_x	force_y	force_z	torque_x	torque_y	torque_z
165	7.0293055e-02	5.2359903e-04	1.5432037e-05	-9.6559476e-21	-4.7904730e-21	-2.3370184e-23	-1.4745672e-21	-6.1602403e-22
166	7.0932483e-02	5.2359903e-04	1.5366375e-05	1.9691940e-20	1.8951299e-20	-1.2814570e-22	1.5089430e-22	-1.1843021e-21
167	7.1572365e-02	5.2359903e-04	1.5301473e-05	2.1597828e-20	-1.6466288e-20	7.7069891e-23	1.2350604e-22	1.8989361e-22
168	7.2212725e-02	5.2359903e-04	1.5237325e-05	-8.9539657e-21	-1.1396673e-20	-3.2540262e-23	-1.2970106e-21	1.3112101e-21
169	7.2853584e-02	5.2359903e-04	1.5173927e-05	4.5430894e-20	2.4361208e-20	-3.2646378e-23	2.0756903e-22	-6.1210676e-23
170	7.3494966e-02	5.2359903e-04	1.5111271e-05	-2.2268360e-20	4.6751842e-21	1.4877955e-23	-2.3424239e-22	1.4930918e-21
171	7.4136895e-02	5.2359903e-04	1.5049353e-05	-2.4186081e-20	-3.3401554e-20	-1.8411040e-23	3.9936083e-22	-2.0043476e-21
172	7.4779394e-02	5.2359903e-04	1.4988167e-05	-2.8454213e-21	-1.6159816e-21	2.6377440e-23	-8.0281388e-22	1.4262852e-21
173	7.5422487e-02	5.2359903e-04	1.4927716e-05	-1.5208736e-20	-1.0585208e-21	-2.0031073e-23	6.4535918e-22	-2.3279524e-22
174	7.6066194e-02	5.2359903e-04	1.4867994e-05	-1.8010878e-20	3.5384356e-21	3.2529532e-23	-4.9777123e-22	6.0619030e-22
175	7.6710540e-02	5.2359903e-04	1.4808991e-05	4.0804619e-20	-2.4515036e-20	-8.0050588e-25	-1.1238063e-21	-1.9499656e-22
176	7.7355544e-02	5.2359903e-04	1.4750699e-05	-4.6744742e-20	1.0975816e-20	-4.4890265e-23	-1.3408910e-21	1.1384495e-21
177	7.8001228e-02	5.2359903e-04	1.4693112e-05	2.2947964e-21	-5.7507960e-21	3.9538453e-23	-6.4982417e-22	-3.8959868e-22
178	7.8647611e-02	5.2359903e-04	1.4636224e-05	3.0435043e-20	9.6241030e-22	6.9811478e-23	8.7731193e-22	-5.7074086e-22
179	7.9294712e-02	5.2359903e-04	1.4585044e-05	4.0421233e-21	3.0263465e-20	6.2406184e-23	1.4570261e-21	-1.8678747e-22
