step	time	mass	force_x	force_y	force_z	torque_x	torque_y	torque_z
132	2.2375232e-03	3.1146248e-04	4.3820568e-03	-2.8840806e-09	1.7494032e-18	1.5979056e-22	1.6913178e-19	2.1105964e-09
133	2.2657663e-03	3.1146248e-04	4.3580692e-03	-2.5440082e-09	-1.5414721e-18	-1.2283581e-21	-3.0499887e-19	2.0904389e-09
134	2.2940210e-03	3.1146248e-04	4.3344227e-03	-2.2160942e-09	-6.0261400e-19	2.0589270e-22	2.2638257e-19	2.0705503e-09
135	2.3222880e-03	3.1146248e-04	4.3111457e-03	-1.9060148e-09	1.2981243e-18	-3.4189879e-22	1.2551408e-19	2.0512645e-09
136	2.3505679e-03	3.1146248e-04	4.2882395e-03	-1.6172523e-09	1.4959327e-18	4.8231449e-22	-7.0063470e-20	2.0328735e-09
137	2.3788611e-03	3.1146248e-04	4.2656982e-03	-1.3496231e-09	-6.0746076e-19	-2.6586585e-21	4.7620377e-20	2.0151469e-09
138	2.4071682e-03	3.1146248e-04	4.2435142e-03	-1.1032039e-09	-3.6613243e-19	5.8220631e-22	-3.9334182e-19	1.9979195e-09
139	2.4354896e-03	3.1146248e-04	4.2216790e-03	-8.7513459e-10	-2.3461354e-19	-2.5094158e-21	1.6961141e-19	1.9810756e-09
140	2.4638258e-03	3.1146248e-04	4.2001844e-03	-6.5831947e-10	9.6872119e-19	1.6250535e-22	-6.3563256e-20	1.9649719e-09
141	2.4921772e-03	3.1146248e-04	4.1790220e-03	-4.5602881e-10	3.0118078e-19	-5.5332430e-22	-7.4531578e-20	1.9494835e-09
142	2.5205441e-03	3.1146248e-04	4.1581838e-03	-2.6879198e-10	-1.8998965e-18	1.7011785e-21	-9.5357506e-20	1.9344999e-09
143	2.5489269e-03	3.1146248e-04	4.1376618e-03	-9.3610046e-11	-9.3754541e-20	1.4769325e-21	-3.0620425e-20	1.9202185e-09
144	2.5773259e-03	3.1146248e-04	4.1174482e-03	6.9091248e-11	1.8242503e-18	5.8324554e-22	5.5340170e-20	1.9063341e-09
145	2.6057414e-03	3.1146248e-04	4.0975356e-03	2.2130659e-10	-8.0120259e-19	4.3437155e-22	3.0648531e-20	1.8930840e-09
146	2.6341736e-03	3.1146248e-04	4.0779164e-03	3.6191401e-10	9.1821792e-19	-8.6306159e-22	1.7809758e-19	1.8804778e-09
147	2.6626228e-03	3.1146248e-04	4.0585837e-03	4.9172223e-10	-6.3987348e-19	1.4986508e-22	7.3761650e-20	1.8686472e-09
148	2.6910891e-03	3.1146248e-04	4.0395304e-03	6.1464470e-10	-4.9593476e-19	4.3575937e-22	-3.3700138e-20	1.8575120e-09
149	2.7195728e-03	3.1146248e-04	4.0207499e-03	7.2711974e-10	3.3937427e-19	1.2137981e-23	-9.4499226e-20	1.8469210e-09
150	2.7480741e-03	3.1146248e-04	4.0022355e-03	8.2754873e-10	-6.5239428e-19	-1.6889697e-21	3.0574671e-20	1.8368248e-09
151	2.7765930e-03	3.1146248e-04	3.9839811e-03	9.1793827e-10	-3.9719462e-19	-7.6657558e-22	-1.3099824e-20	1.8275127e-09
152	2.8051297e-03	3.1146248e-04	3.9659804e-03	1.0019861e-09	8.6464204e-19	-1.6221630e-21	6.9280920e-20	1.8186153e-09
153	2.8336844e-03	3.1146248e-04	3.9486353e-03	1.0824052e-09	9.1765349e-19	-8.9363149e-22	1.3411898e-19	1.8108349e-09
154	2.8622534e-03	3.1146248e-04	3.9320472e-03	1.1602114e-09	5.5207642e-19	-1.3667015e-21	-4.1162762e-20	1.8034898e-09
155	2.8908298e-03	3.1146248e-04	3.9151079e-03	1.2450256e-09	8.3859070e-19	-1.3080300e-21	6.6414988e-20	1.7938281e-09
156	2.9194139e-03	3.1146248e-04	3.8982182e-03	1.3349261e-09	-1.6261894e-18	8.3816471e-22	1.2799742e-19	1.7844753e-09
157	2.9480059e-03	3.1146248e-04	3.8814993e-03	1.4204002e-09	-5.6277968e-19	1.3352642e-21	-5.7365965e-21	1.7759988e-09
158	2.9766060e-03	3.1146248e-04	3.8649814e-03	1.5003331e-09	6.5123308e-19	4.1821338e-22	-2.0669181e-19	1.7684530e-09
159	3.0052144e-03	3.1146248e-04	3.8486705e-03	1.5719744e-09	-1.1636195e-18	2.5800066e-22	2.0895150e-20	1.7618147e-09
160	3.0338314e-03	3.1146248e-04	3.8325662e-03	1.6326141e-09	3.3225559e-19	-1.8116191e-21	1.2617988e-19	1.7559057e-09
161	3.0624570e-03	3.1146248e-04	3.8166658e-03	1.6822878e-09	6.7440665e-19	-1.0464918e-21	-4.8063717e-20	1.7508782e-09
162	3.0910915e-03	3.1146248e-04	3.8012915e-03	1.7231867e-09	-1.9692493e-18	-1.0520446e-21	-3.4025149e-20	1.7471984e-09
163	3.1197319e-03	3.1146248e-04	3.7858906e-03	1.7596957e-09	1.0621223e-18	-1.8529357e-21	-9.9207147e-21	1.7431476e-09
